Speed (ft/s),Motor Command (ul)
0,0
1.8,0.1
4.1,0.2
6.5,0.3
8.7,0.4
10.9,0.5
13.2,0.6
15.5,0.7
17.5,0.8
19.8,0.9
21,1
22,1
