Speed (ft/s),Motor Command (ul)
0,0
0.8,0.1
1.6,0.2
2.4,0.3
3.3,0.4
4.1,0.5
4.9,0.6
5.7,0.7
6.6,0.8
7.3,0.9
8,1
22,1
