Speed (ft/s),Motor Command (ul)
0,0
1.8,0.1
3.6,0.2
5.4,0.3
7.2,0.4
9.0,0.5
10.8,0.6
12.6,0.7
14.5,0.8
16.2,0.9
17.8,1
18,1
