Speed (ft/s),Motor Command (ul)
0,0
0.8,0.1
1.6,0.2
2.4,0.3
3.2,0.4
4.0,0.5
4.8,0.6
5.6,0.7
6.4,0.8
7.2,0.9
7.9,1
18,1
